,CLAVE,SITIO,ORGANISMO_DE_CUENCA,ESTADO,MUNICIPIO,CUENCA,CUERPO DE AGUA,TIPO,SUBTIPO,LONGITUD,LATITUD,PERIODO,DBO_mg/L,DQO_mg/L,SST_mg/L,COLI_FEC_NMP_100mL,E_COLI_NMP_100mL,ENTEROC_NMP_100mL,OD_PORC,OD_PORC_SUP,OD_PORC_MED,OD_PORC_FON,TOX_D_48_UT,TOX_V_15_UT,TOX_D_48_SUP_UT,TOX_D_48_FON_UT,TOX_FIS_SUP_15_UT,TOX_FIS_FON_15_UT,SEMAFORO
0,DLAGU11,PRESA JOCOQUI 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,RIO SAN PEDRO,PRESA EL JOCOQUI,LENTICO,PRESA,-102.35794,22.12123,2019,8.45,47.4,10.0,3.0,3.0,,,170.5,106.4,50.2,,,1.0,1.0,1.0,1.0,Rojo
1,DLAGU12,PRESA EL JOCOQUI COLA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,RIO SAN PEDRO,PRESA EL JOCOQUI,LENTICO,PRESA,-102.37846,22.1358,2019,17.0,48.52,11.43,10.0,3.0,,,180.0,105.1,48.1,,,1.0,1.0,1.14,1.25,Rojo
2,DLAGU13,PRESA PRESIDENTE CALLES 100M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.41856,22.14165,2019,2.0,12.48,10.0,20.0,3.0,,,117.5,45.4,12.8,,,1.0,1.0,1.0,1.0,Amarillo
3,DLAGU14,PRESA PRESIDENTE CALLES EMBARCADERO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.4263,22.15254,2019,2.0,10.0,10.0,20.0,20.0,,,109.4,50.8,12.6,,,1.0,1.0,1.0,1.0,Amarillo
4,DLAGU15,PRESA PRESIDENTE CALLES TECONGO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.44221,22.13077,2019,2.0,15.81,10.0,31.0,3.0,,,101.7,42.8,14.6,,,1.0,1.0,1.0,1.0,Amarillo
5,DLAGU16,PRESA PRESIDENTE CALLES RIO BLANCO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.44423,22.14564,2019,2.0,17.47,10.0,3.0,3.0,,,111.9,58.4,12.8,,,1.0,1.0,1.0,1.0,Amarillo
6,DLAGU17,PRESA PRESIDENTE CALLES PAREDES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA PRESIDENTE CALLES,LENTICO (HUMEDAL),PRESA,-102.45887,22.13645,2019,6.46,20.8,10.0,30.0,3.0,,,106.8,45.6,24.8,,,1.0,1.0,1.0,1.0,Amarillo
7,DLAGU18,PRESA 50 ANIVERSARIO CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,SAN JOSE DE GRACIA,PRESA CALLES,PRESA 50 ANIVERSARIO,LENTICO,PRESA,-102.4653,22.18899,2019,8.245,31.805,10.0,1541.0,946.5,,,92.05,47.1,12.4,,,1.0,1.0,1.0,1.0,Amarillo
8,DLAGU20,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ABAJO),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIAGARA,RIO CHICALOTE,LOTICO,RIO,-102.29445,21.98063,2019,879.0,1142.43,330.0,2419600.0,2419600.0,,10.0,,,,2.452,2.838,,,,,Rojo
9,DLAGU21,DESARROLLOS INDUSTRIALES DE AGUASCALIENTES (AGUAS ARRIBA),LERMA SANTIAGO PACIFICO,AGUASCALIENTES,JESUS MARIA,PRESA EL NIAGARA,RIO CHICALOTE,LOTICO,RIO,-102.28905,21.98524,2019,90.275,382.13,105.715,897530.0,200230.0,,13.195,,,,1.709,2.647,,,,,Rojo
10,DLAGU23,PRESA LOS GRINGOS,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA LOS GRINGOS,LENTICO,PRESA,-102.26814,21.90766,2019,33.0,313.715,138.0,13552.5,13169.0,,,,,10.0,,,1.0,1.0,1.8,1.0,Rojo
11,DLAGU24,PRESA EL CEDAZO,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA EL CEDAZO,LENTICO,PRESA,-102.25658,21.86921,2019,19.695,38.01,25.25,15163.5,8940.5,,,133.1,,120.4,,,1.0,1.0,1.0,1.59,Amarillo
12,DLAGU27M1,RIO SAN PEDRO AGUAS ABAJO DE LA CIUDAD DE AGUASCALIENTES,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,Presa El NiAgara,RIO SAN PEDRO,LOTICO (HUMEDAL),RIO,-102.33361,21.84536,2019,99.495,146.06,41.415,133078.0,133078.0,,22.75,,,,1.0,1.0,,,,,Rojo
13,DLAGU28,PRESA EL NIAGARA 3500M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA EL NIAGARA,LENTICO (HUMEDAL),PRESA,-102.37299,21.81627,2019,65.675,83.505,20.75,24196.0,24196.0,,,53.6,,10.0,,,1.0,1.0,2.47,1.84,Rojo
14,DLAGU29,PRESA EL NIAGARA 2000M AGUAS ARRIBA DE LA CORTINA,LERMA SANTIAGO PACIFICO,AGUASCALIENTES,AGUASCALIENTES,PRESA EL NIAGARA,PRESA EL NIAGARA,LENTICO (HUMEDAL),PRESA,-102.37466,21.8007,2019,31.2,83.165,25.75,24196.0,24196.0,,,81.2,,10.0,,,1.0,1.0,1.0,1.0,Rojo
